Key;Values;;;;
#;;;;;
# The first CSV scene / custom scene;;;;;
#;;;;;
begin;ejemplo2/ejemplo2_001_training_field;;;;
#;;;;;
# Base path configs, preferably not touch;;;;;
#;;;;;
path_background;images/backgrounds/;;;;
path_sound;sounds/;;;;
path_music;music/;;;;
path_scene;scenes/;;;;
path_displayable;images/displayables/;;;;
#;;;;;
# Background define;;;;;
#;;;;;
background;training field;;;;
background;smoke;;;;
background;forest;;;;
background;flash;;;;
background;red;;;;
background;blackout;;;;
background;suffocation;;;;
background;city;;;;
background;mall;;;;
background;puerkokun;;;;
background;house inside;;;;
background;house front;;;;
background;smoke;;;;
background;forest;;;;
background;dark forest;;;;
background;dark forest flash;;;;
background;factory;;;;
#;;;;;
# Character define;;;;;
#;;;;;
character;rafarencio;#ffad65;Rafarencio;;
character;tableman;#ffffff;Mesero;Tableman;Mechero
