Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
ejemplo1_eating_001;;;;;;tableman:move:120;;*;El mesero se retira hacia la cocina, espero que todo salga bien.;
ejemplo1_eating_002;;;;;;katy:move:50;;katy;Oye ¿Y como sigue tu mamá?;
ejemplo1_eating_003;;;;;;;;berto;Oh muy bien, ya está mejor del resfriado, lo que pasa es que…;
ejemplo1_eating_004;puerkokun:fade;;;;;;;katy;Por eso decidí dejarlo así, es mejor alejarse de la gente que no te aporta nada y solo consume tu tiempo y tu paciencia.;
ejemplo1_eating_005;;;;;;;;berto;Sí, era lo correcto, na-;
ejemplo1_eating_006;;;;;;katy & tableman:move:33:66;;*;El mesero se acerca a nosotros con una bandeja con comida.;
ejemplo1_eating_007;;;;;;;;katy;¡Oh que bien, la comida!;
ejemplo1_eating_008;;;;;burger;;;*;El mesero nos deja sobre la mesa las hamburguesas que pedimos y también coloca unos platos que contienen las papas fritas.;
ejemplo1_eating_009;;;;;;;;katy;Whoooo, hay más papas que en la oferta.;
ejemplo1_eating_010;;;;;burger;;;tableman;Así es, parte de nuestra filosofía es siempre ofrecer más de lo que se ve en redes sociales, de esa forma creamos una marca más robusta al superar las expectativas de nuestros clientes.;
ejemplo1_eating_011;;;;;;;;katy;Vaya… esa es una muy buena estrategia, me gusta, tengo que investigar al respecto.;
ejemplo1_eating_012;;;;;;;;*;Ella saca su celular y escribe algo rápidamente antes de guardarlo de nuevo.;
ejemplo1_eating_013;;;;;;;;tableman;Bueno, que tengan muy buen provecho.;
ejemplo1_eating_014;;;;;;;;*;El mesero voltea hacia mi y guiña su ojo con una ligera sonrisa, el chocolate debe estar listo o debe estar en progreso.;
ejemplo1_eating_015;;;;;;tableman:move:120;;katy;Bueno, es hora de comer.;
ejemplo1_eating_016;;;;;;katy:move:50;;*;Tanto Katy como yo tomamos nuestras hamburguesas con ambas manos y damos el primer bocado.;
ejemplo1_eating_017;;;;;;;;;Pan suave, carne sabrosa, tomate jugoso, lechuga fresca, lo justo de cebolla y queso amarillo derretido. Todos los sabores se juntan creando una combinación deliciosa.;
ejemplo1_eating_018;;;;;;;;;Está muy rica, ¿cuánto tiempo tenía sin comer fuera de mi casa?;
ejemplo1_eating_019;;;;;;;;;Katy con algo de comida en la boca entona algunas palabras con dificultad;
ejemplo1_eating_020;;;;;;;;katy;¡Eshtá mmuy nuena!;
ejemplo1_eating_021;;;;;;;;*;Por mi parte termino de tragar la comida antes de responderle.;
