Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
ejemplo1_reaction_alice_01;;;;;;;;*;Sus ojos se abren más de lo que uno se imaginaría, luego me mira a mi.;
ejemplo1_reaction_alice_02;;;;;;mesero:move:-15;;katy;¡Es Alice! ¡Alice Kenway! ¡¿Pediste esto para mi?!;
ejemplo1_reaction_alice_03;;;;;;mesero:destroy;;*;Me cuesta mirarla a los ojos, el corazón me está latiendo mucho.;
ejemplo1_reaction_alice_04;;;;;;;;berto;S-sí, sabía que te iba a gu-gustar.;
ejemplo1_reaction_alice_05;;;;;;;;*;Ella se levanta de su asiento ¿Eh? ¿Qué p-;
ejemplo1_reaction_alice_06;;;;;;;;;Camina hacia mi y me da un abrazo sin poder prepararme primero.;
ejemplo1_reaction_alice_07;;;;;;;;;Siento su calidez, el olor de su cabello, siento como presiona su pecho contra mi y junto a ello, escucho sus latidos, están bastante acelerados.;
ejemplo1_reaction_alice_08;;;;;;;;;Tras un pequeño rato ella se separa de mi y se sienta de nuevo en su silla.;
ejemplo1_reaction_alice_09;;;;;;;;;Cuando veo el mesero ya no está, logro ver a alguien asomarse desde la puerta de la cocina, tiene una red en la cabeza, se ve algo joven.;
ejemplo1_reaction_alice_10;;;;;;;;;El chico me mira y muestra un objeto guindando desde su mano, al forzar un poco la vista me doy cuenta, es una figurita de Alice como la que tiene Katy.;
ejemplo1_reaction_alice_11;;;;;;;;;Tengo una suerte divina de que el chef también sea fan de Alice.;
ejemplo1_reaction_alice_12;;;;;;;;;Regreso mi vista a Katy y la veo tomándole fotos al chocolate desde distintos ángulos.;
ejemplo1_reaction_alice_13;;;;;;;;katy;Berto, tómame una foto con el chocolate.;
ejemplo1_reaction_alice_14;;;;;;;;*;Me pasa su celular y hago lo dicho, ella despliega una sonrisa gigante, mi pulso irregular se calma por un momento y logro tomar la foto sin que se vea mal.;
ejemplo1_reaction_alice_15;;;;;;;;berto;Te ves… hermosa.;
ejemplo1_reaction_alice_16;;;;;;;;*;Ella escucha mi comentario y se pone algo roja, tras unos segundos le devuelvo su celular.;
ejemplo1_reaction_alice_17;;;;;;;;berto;Pásame esa foto.;
ejemplo1_reaction_alice_18;;;;;;;;katy;No.;
ejemplo1_reaction_alice_19;;;;;;;;berto;¿Por qué?;
ejemplo1_reaction_alice_20;;;;;;;;*;Ella esboza una gran sonrisa;
ejemplo1_reaction_alice_21;;;;;;;;katy;Tonto, te las voy a pasar todas;
ejemplo1_reaction_alice_22;;;;;;;;*;Hablamos un poco más mientras ella se va comiendo a Alice por partes y gracias a este pequeño rato mis músculos se relajan y mi pulso se reduce.;
#linear;;;;;;;;;;
alice_reaction_to_post_eating;ejemplo1/ejemplo1_post_eating;;;;;;;;;
