Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
ejemplo1_chocolate_calculator_01;;;;;;;;katy;Whoooo… una calculadora de chocolate, nunca pensé que vería una así.;
ejemplo1_chocolate_calculator_02;;;;;;tableman:move:-20;;*;Ella la observa con más detenimiento fijándose en las teclas que tiene.;
ejemplo1_chocolate_calculator_03;;;;;;tableman:destroy;;;Mientras las mira de cerca frunce el ceño por un momento ¿tendrá algo malo?;
ejemplo1_chocolate_calculator_04;;;;;;;;berto;P-pensé que una calculadora de chocolate sería algo extraño pero… ¿es una herramienta que usas casi siempre no?;
ejemplo1_chocolate_calculator_05;;;;;;;;katy;Jajajaja, sí, de hecho la tengo en el bolso ahora mismo, nunca salgo de casa sin ella.;
ejemplo1_chocolate_calculator_06;;;;;;;;;Me gustó mucho el chocolate calculadora, ¡gracias!;
ejemplo1_chocolate_calculator_07;;;;;;;;berto;No hay de qué jejeje…;
ejemplo1_chocolate_calculator_08;;;;;;;;*;Ella se toma un rato para comerse la calculadora y comparte un poquito conmigo.;
#linear;;;;;;;;;;
chocolate_calculator_to_post_eating;ejemplo1/ejemplo1_005_post_eating;;;;;;;;;
