Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
ejemplo1_post_eating_01;;;;;;;;*;Recogemos lo nuestro y nos acercamos a la caja para pagar nuestras partes.;
ejemplo1_post_eating_02;;;;;;;;;Nuevamente el corazón se me acelera cuando el punto de venta tarda en procesar la transacción.;
ejemplo1_post_eating_03;;;;;;;;;Un pequeño bip devuelve mis nervios a su sitio, hoy estoy algo sensible de lo normal.;
ejemplo1_post_eating_04;;;;;;;;;Salimos del restaurante, no sin antes despedirnos el mesero que tan bien nos atendió, cuando me despido de él, él me guiña el ojo.;
ejemplo1_post_eating_05;;;;;;;;mesero;Regresen pronto.;
ejemplo1_post_eating_06;;;;;;;;*;Caminamos por el centro comercial Katy me señala algunos nuevos locales y propone visitarlos algún día juntos.;
ejemplo1_post_eating_07;;;;;;;;;El tiempo pasa y miro mi reloj.;
ejemplo1_post_eating_08;;;;;;;;berto;Vaya, ya son las 6:30 el tiempo pasó muy rápido.;
ejemplo1_post_eating_09;;;;;;;;katy;Sí…;
#condition scene;;;;;;;;berto;Lo lamento pero a esta hora ya debería estar en camino a mi casa, mi casa no está precisamente cerca.;
post_eating_to_hotel_end;ejemplo1_004_reaction_chocolate_alice;ejemplo1/ejemplo1_006_hotel_end;;;;;;;;
post_eating_to_bus_end;;ejemplo1/ejemplo1_006_bus_end;;;;;;;;
