Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
ejemplo1_006_bus_end_01;;;;;;;;katy;Una lástima que vivas tan lejos, pero así son las cosas.;
ejemplo1_006_bus_end_02;;;;;;;;;¡Tenemos que venir otro día! Hay que comer en todos los restaurantes;
ejemplo1_006_bus_end_03;;;;;;;;berto;Jajajaja ¿no son muchos?;
ejemplo1_006_bus_end_04;;;;;;;;katy;Que va, seguro que en unos pocos meses podremos comer en todos.;
ejemplo1_006_bus_end_05;;;;;;;;berto;Ufff... no creo que mi sueldo me lo permita;
ejemplo1_006_bus_end_06;;;;;;;;katy;Jajajaja, quien sabe, a lo mejor la siguiente vez invito yo;
ejemplo1_006_bus_end_07;;;;;;;;berto;Oh ¿de verdad?;
ejemplo1_006_bus_end_08;;;;;;;;katy;Sí, y luego la próxima invitas tú;
ejemplo1_006_bus_end_09;;;;;;;;berto;Me parece bien;
ejemplo1_006_bus_end_10;city;;;;;;;*;Ambos salimos del centro comercial y caminamos hasta la parade de autobús de regreso.;
ejemplo1_006_bus_end_11;;;;;;;;;Esperamos un tiempo y finalmente aparece uno, este me lleva a mi casa, es distinto al bus que toma Katy.;
ejemplo1_006_bus_end_12;;;;;;;;;Antes de subir nos despedimos con un abrazo.;
ejemplo1_006_bus_end_13;;;;;;;;katy;¡Chao Berto, nos vemos otro día!;
ejemplo1_006_bus_end_14;;;;;;;;berto;¡Seguro!;
