Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
ejemplo_006_hotel_end_01;;;;;;;;katy;Berto…;
ejemplo_006_hotel_end_02;;;;;;;;berto;¿Dime?;
ejemplo_006_hotel_end_03;;;;;;;;*;Ella toma mi mano y nuevamente mi corazón se exalta.;
ejemplo_006_hotel_end_04;;;;;;;;;Con una sonrisa pícara me dice.;
ejemplo_006_hotel_end_05;;;;;;;;katy;¿Y si nos tardamos un poquito más?;
ejemplo_006_hotel_end_06;;;;;;;;*;Ella apunta a un pilar que tiene un aviso.;
ejemplo_006_hotel_end_07;;;;;;;;;“¡El hotel del centro comercial está terminado! Tenemos precios increíbles solo por esta semana”;
ejemplo_006_hotel_end_08;;;;;;;;berto;¿¡Q-Q-QUE!?;
ejemplo_006_hotel_end_09;;;;;;;;katy;Dile a tu mamá que te voy a pedir un taxi a tu casa, quiero pasar más rato contigo;
ejemplo_006_hotel_end_10;;;;;;;;*;Esto… ¿estoy soñando? ¿Esto de verdad va a suceder?;
ejemplo_006_hotel_end_11;;;;;;;;katy;Tomaré eso como un sí ¡vamos!;
ejemplo_006_hotel_end_12;;;;;;;;*;Katy me lleva arrastrado de la mano hacia la salida del centro comercial hasta la entrada del hotel.;
ejemplo_006_hotel_end_13;;;;;;;;;“Mamá, me voy a quedar un poco más, Katy me va a pagar un taxi, te estaré escribiendo”;
