Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
ejemplo2_keep_hitting_001;;;;;;rafarencio pain;;*;No puedo detenerme, si lo hago él aprovechará la oportunidad para usar algún truco.;
ejemplo2_keep_hitting_002;;;;;;;;;Mientras siga ejerciendo presión sobre él, no podrá responder de ninguna forma, tengo que persistir.;
ejemplo2_keep_hitting_003;;;;;;rafarencio pain:damage;;;Pese a la rigidez de los músculos de mi brazo intento seguir golpeando, continúo y continúo.;
ejemplo2_keep_hitting_004;;;;;;;;;Tras varios golpes más mis músculos están tan tensos que simplemente uso mi hombro para mover el brazo completo.;
ejemplo2_keep_hitting_005;;;;;;;;;Puedo sentir como se debilita su agarre que mantiene a raya mi espadazo a la vez que su rostro se retuerce de dolor.;
ejemplo2_keep_hitting_006;;;;;;rafarencio pain:damage;;;De reojo logro ver que intenta hacer algo con sus piernas pero mis consistentes golpes cortan su plan.;
ejemplo2_keep_hitting_007;;;;;;;;;Desesperado tira del brazo que tengo sujeto con mis dientes, tira con menos fuerza que antes, esto es una pelea de desgaste.;
ejemplo2_keep_hitting_008;;;;;;;;;Ya no siento mis nudillos ni mis dientes, estoy entumecido.;
ejemplo2_keep_hitting_009;;;;;;;;;¡Cae! ¡Cae! ¡Cae de una vez!;
ejemplo2_keep_hitting_010;;;;;;rafarencio pain:movey:0.1;;;Finalmente su agarre cede y sin dudarlo reanudo mi golpe letal que va directo a su cuello.;
ejemplo2_keep_hitting_011;;;;;;rafarencio pain:damage;;;Él alza una de sus piernas, de inmediato hundo mi puño izquierdo en su abdomen interrumpiendo lo que fuese que estaba intentando.;
ejemplo2_keep_hitting_012;;;;;;;;rafarencio;¡KKKKhg!;
ejemplo2_keep_hitting_013;;;;;;;;*;Con ese golpe su otra pierna cede y cae al suelo esquivando mi golpe.;
ejemplo2_keep_hitting_014;;;;;;;;;Aún sin soltarlo con mis dientes reduzco mi altura a la vez que el cae para no llevarme un tirón repentino.;
ejemplo2_keep_hitting_015;;;;;;;;;Me recompongo y uso mi espada para amenazar su cuello con un golpe fatal.;
ejemplo2_keep_hitting_016;;;;;;rafarencio pain:movey:0.15;;;Finalmente abro mi mandíbula, dejando su brazo libre y me dejo caer en el suelo para sentarme.;
ejemplo2_keep_hitting_017;;;;vpunch;;;;;Cuando apoyo ambas manos en el suelo, mi mano izquierda cede casi al instante y quedo lo que podríamos llamar “semiacostado”.;
ejemplo2_keep_hitting_018;;;;;;;;rafarencio;¡Uf! Berto… ¿cuántos golpes me diste?... ¡Agh!;
ejemplo2_keep_hitting_019;;;;;;;;berto;No lo sé… pero gané.;
ejemplo2_keep_hitting_020;;;;;;;;*;Rafa se lleva la mano a sus costillas, justo donde lo estaba golpeando.;
ejemplo2_keep_hitting_021;;;;;;;;;Frota la zona mientras arruga la cara de dolor y expande su pecho respirando rápidamente.;
ejemplo2_keep_hitting_022;;;;;;;;;Ambos estamos agotados.;
ejemplo2_keep_hitting_023;;;;;;;;rafarencio;Oye… estuviste muy bien….;
ejemplo2_keep_hitting_024;;;;;;;;;Supiste aprovechar tus… puntos fuertes, aunque… yo soy rápido… tú eres más resistente.;
ejemplo2_keep_hitting_025;;;;;;;;;Eres capaz de dar 50 golpes consecutivos e incluso quizás, serías capaz de resistirlos, pero yo no.;
ejemplo2_keep_hitting_026;;;;;;;;;Por eso prefiero evitar los golpes.;
ejemplo2_keep_hitting_027;;;;;;;;berto;Entiendo… al fin y al cabo, esquivar también es una forma de resistir en un combate.;
ejemplo2_keep_hitting_028;;;;;;rafarencio:1;;rafarencio;Jejeje… no esperaba que me mordieras el brazo, fue realmente una muy buena jugada.;
ejemplo2_keep_hitting_029;;;;;;;;berto;Ya, vi la oportunidad y no la pude desaprovechar, solo seguí las palabras del instructor.;
ejemplo2_keep_hitting_030;;;;;;;;rafarencio;Sí, no importa los trucos que uses, lo importante es ganar el combate.;
ejemplo2_keep_hitting_031;;;;;;;;;Oye Berto, ¿sabes que no me voy a quedar así verdad?;
ejemplo2_keep_hitting_032;;;;;;rafarencio:movey:0;;*;Rafa se pone de pie mientras apunta su espada hacia mi.;
ejemplo2_keep_hitting_033;;;;;;;;berto;Por supuesto que lo sé.;
ejemplo2_keep_hitting_034;;;;;;;;*;Con mi brazo aún entumecido, me pongo de pie.;
ejemplo2_keep_hitting_035;;;;;;;;;Nos colocamos en posición y continuamos entrenando hasta ser incapaz de levantarnos.;
#linear;fade:1:3:0;clear;;;;;;;;
to_smoke_factory;ejemplo2/ejemplo2_003_smoke_factory;;;;;;;;;
