Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
ejemplo2_smoke_factory_002;dark_forest;key in the lock;;;;;;berto;No han atacado aún, ¿Habrá pasado algo?;
ejemplo2_smoke_factory_003;;;;;;rafarencio old:appear:33;;rafarencio;La orden que nos dieron fue la de esperar a la señal, no nos queda de otra que confiar.;
ejemplo2_smoke_factory_004;;;;;;;;;Si logramos deshabilitar la fábrica, perderán su principal arma, ganaremos la guerra en menos de una semana.;
ejemplo2_smoke_factory_005;;;;;;;;;De no ser por ese humo, ya habríamos acabado con este conflicto hace mucho tiempo.;
ejemplo2_smoke_factory_006;;;;;;;;berto;Es una pena que no pudiesen terminar las mascarillas a tiempo, ese humo… desde que leímos aquel informe detallando sus efectos he tenido varias pesadillas.;
ejemplo2_smoke_factory_007;;;;;;;;rafarencio;Y no eres el único, por eso mismo debemos terminar con esto, no podemos permitir q-;
ejemplo2_smoke_factory_008;;;war horn;;;;4;;Pierre se ha puesto en marcha, es nuestro momento.;
ejemplo2_smoke_factory_009;forest;;;;;;;*;Rafarencio y yo avanzamos entre la maleza y nos acercamos al complejo, una fábrica de humo mortal.;
ejemplo2_smoke_factory_010;;;;;;;;berto;Ahí es, está todo despejado, no hay nadie. Aunque… ¿Esa es la fábrica? No lo parece.;
ejemplo2_smoke_factory_011;;;;;;;;rafarencio;La información que nos dieron tiene que ser correcta ¿Acaso ves otro edificio?;
ejemplo2_smoke_factory_012;;;;;;;;berto;No pero… vaya fiasco de fábrica ¿No?, las paredes se están pelando, todo se ve sucio y en mal estado, ni siquiera podría resistir un leve temblor.;
ejemplo2_smoke_factory_013;;;;;;;;rafarencio;Si por dentro está tan desastroso como por fuera, con suerte podremos encontrar la forma de derrumbarlo todo. Sigamos avanzando.;
ejemplo2_smoke_factory_014;;;;;;;;*;Rafa y yo bordeamos la fábrica hasta encontrar un buen sitio para acercarnos y examinar bien la zona.;
ejemplo2_smoke_factory_015;;;;;;;;;Me acerco y miro por las esquinas, no hay nadie.;
ejemplo2_smoke_factory_016;;;;;;;;;Hago las señas pertinentes a Rafa, en estos momentos no nos podemos permitir hacer ruido al hablar.;
ejemplo2_smoke_factory_017;;;;;;;;;Nos acercamos a lo que parece ser una puerta trasera, con mi mano la fuerzo un poco… ¿Eh? No puede ser.;
ejemplo2_smoke_factory_018;;;;;;;;;Hago las señas a Rafa, está abierto ¿Esta gente no tiene sentido de la seguridad? Literalmente incluso un puma podría entrar allí.;
ejemplo2_smoke_factory_019;;;;;;;;;Él niega con la cabeza, indicándome que busque otra entrada, lo más seguro es que sea una trampa, una finta.;
ejemplo2_smoke_factory_020;;;;;;;;;Rodeamos el edificio hasta encontrar una ventana cerrada la cual logramos abrir sin hacer demasiado ruido.;
ejemplo2_smoke_factory_021;;;;;;rafarencio old:move:50:1, rafarencio old:movey:-1.5:0.8;;;Rafa se sube encima de mi y mira.;
ejemplo2_smoke_factory_022;;;;;;rafarencio old:destroy;;;Balancea un poco su peso sobre mis hombros para decirme que va a entrar.;
ejemplo2_smoke_factory_023;;;;;;;;;Se cuela por la ventana, espero unos segundos y al no escuchar ninguna respuesta yo también entro.;
ejemplo2_smoke_factory_024;;;;;;;;;Doy un vistazo rápido y veo la puerta de antes, tiene pegado una especie de sistema de poleas, era una trampa.;
ejemplo2_smoke_factory_025;;;;;;rafarencio old:pop:-20;;;Escucho unos leves sonidos en el piso de arriba, lo que respecta en la plana baja parece no haber nadie.;
ejemplo2_smoke_factory_026;;;;;;;;;El sitio está lleno de tuberías por todas partes, suelo, paredes, techo. Sería un desastre si alguna de esas tuberías se rompiese.;
ejemplo2_smoke_factory_027;;;;;;rafarencio old:move:20;;;Rafa y yo asentimos y decidimos subir las escaleras con cuidado, podría haber más trampas.;
ejemplo2_smoke_factory_028;factory;;;;;;;;Al llegar al segundo piso entramos en un área abierta, vemos a un obrero de espaldas trabajando en un panel.;
ejemplo2_smoke_factory_029;;;;;;rafarencio old:move:-20;;;Deberíamos capturarlo e interrogarlo, me acerco hacia él con cautela.;
ejemplo2_smoke_factory_030;;;metal hit;;;;;;Una puerta abriéndose de golpe interrumpe mis planes. Rápidamente me escondo observando compulsivamente los al rededores esperando que no venga por este lado.;
