Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;Spanish;English
;;;;;;;;*;Dejo de golpearlo por un momento y preparo mi brazo para darle un gran golpe fuerte.;
;;;;;;;;;Tomo aire y libero mi golpe, puedo ver sus ojos como se fijan en mi puño mientras avanza y veo como esboza una pequeña sonrisa.;
;;;;;;;;;Él realiza una maniobra digna de un circo echándose para atrás como si estuviese jugando limbo.;
;;;;;;;;;Dicho movimiento tira de mis dientes hasta que la tela de su manga se desgarra, despegándose de mi mordisco.;
;;;;;;;;;De esa forma evita mi golpe al mismo tiempo eleva una de sus piernas y logra impactar una patada cerca de mi cabeza.;
;;;;;;;;;Me toma unos instantes recomponerme pero cuando enfoco mi mirada hacia él, lo único que veo es una espada de madera volando directo hacia mi.;
;;;;;;;;;Sin tiempo a reaccionar su espada impacta contra mi cuello y luego cae al suelo.;
;;;;;;;;;Él me habla con una voz agitada ;
;;;;;;;;Rafarencio;Dios… eso fue muy arriesgado pero… no tenía otra oportunidad para ganarte;
;;;;;;;;*;Rafa se cubre las costillas con una de sus manos.;
;;;;;;;;;Por mi parte hago lo mismo pero frotando mi mano contra mi cara y mi mandíbula.;
;;;;;;;;Berto;Casi…;
;;;;;;;;*;Al hablar Rafa me mira, su expresión cambia y me habla con un tono preocupado.;
;;;;;;;;Rafarencio;Oye, está sangrando tu boca;
;;;;;;;;*;Hago caso a sus palabras y uso mi lengua para recorrer mis encías y dientes.;
;;;;;;;;;Me topo con el sabor característico y metálico de mi sangre.;
;;;;;;;;;Bastante cansado respondo a Rafa.;
;;;;;;;;Berto;Vaya… necesitaba ir al quiropráctico por el golpe en mi cuello y… parece que ahora tendré que ir a un dentista también.;
;;;;;;;;Rafarencio;Oye, no estuviste nada mal, me tomó por sorpresa ese mordisco.;
;;;;;;;;Berto;¿Ah sí? La verdad es que vi la oportunidad y no la dejé escapar.;
;;;;;;;;;Fue realmente frustrante intentar agarrarte de la muñeca 12 veces sin éxito.;
;;;;;;;;Rafarencio;¡Jajajaja! Y créeme que disfrute cada intento fallido.;
;;;;;;;;*;Su rostro cambia por completo a uno más serio.;
;;;;;;;;Rafarencio;Oye no estás parando de sangrar, creo que deberías ir a revisarte.;
;;;;;;;;*;Esta vez me llevo la mano a la boca y veo que en efecto sigo sangrando.;
;;;;;;;;Berto;Ay…. Yo quería seguir luchando.;
;;;;;;;;*;Él se abre de brazos.;
;;;;;;;;Rafarencio;La próxima vez será, aquí estaré para enseñarte cómo se esquiva.;
;;;;;;;;Berto;Claro;
;;;;;;;;*;Sin más, me acerco al instructor y solo con verme señala la puerta para que me vaya a enfermería.;
#linear;;;;;;;;;;
to_ruined_future;;004_prepare_powerful_hit;;;;;;;;
