Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english;;;
ejemplo2_prepare_powerfull_hit_001;;;;;;;;*;Dejo de golpearlo por un momento y preparo mi brazo para darle un gran golpe fuerte.;;;;
ejemplo2_prepare_powerfull_hit_002;;;;;;;;;Tomo aire y libero mi golpe, puedo ver sus ojos como se fijan en mi puño mientras avanza y veo como esboza una pequeña sonrisa.;;;;
ejemplo2_prepare_powerfull_hit_003;;;;;;;;;Él realiza una maniobra digna de un circo echándose para atrás como si estuviese jugando limbo.;;;;
ejemplo2_prepare_powerfull_hit_004;;;;vpunch;;rafarencio pain:dodge;;;Dicho movimiento tira de mis dientes hasta que la tela de su manga se desgarra, despegándose de mi mordisco.;;;;
ejemplo2_prepare_powerfull_hit_005;;;;;;;;;De esa forma evita mi golpe al mismo tiempo eleva una de sus piernas y logra impactar una patada cerca de mi cabeza.;;;;
ejemplo2_prepare_powerfull_hit_006;;;;;;;;;Me toma unos instantes recomponerme pero cuando enfoco mi mirada hacia él, lo único que veo es una espada de madera volando directo hacia mi.;;;;
ejemplo2_prepare_powerfull_hit_007;;;;;;;;;Sin tiempo a reaccionar su espada impacta contra mi cuello y luego cae al suelo.;;;;
ejemplo2_prepare_powerfull_hit_008;;;;;;;;;Él me habla con una voz agitada ;;;;
ejemplo2_prepare_powerfull_hit_009;;;;;;;;rafarencio;Dios… eso fue muy arriesgado pero… no tenía otra oportunidad para ganarte;;;;
ejemplo2_prepare_powerfull_hit_010;;;;;;;;*;Rafa se cubre las costillas con una de sus manos.;;;;
ejemplo2_prepare_powerfull_hit_011;;;;;;;;;Por mi parte hago lo mismo pero frotando mi mano contra mi cara y mi mandíbula.;;;;
ejemplo2_prepare_powerfull_hit_012;;;;;;;;berto;Casi…;;;;
ejemplo2_prepare_powerfull_hit_013;;;;;;;;*;Al hablar Rafa me mira, su expresión cambia y me habla con un tono preocupado.;;;;
ejemplo2_prepare_powerfull_hit_014;;;;;;;;rafarencio;Oye, está sangrando tu boca;;;;
ejemplo2_prepare_powerfull_hit_015;;;;;;;;*;Hago caso a sus palabras y uso mi lengua para recorrer mis encías y dientes.;;;;
ejemplo2_prepare_powerfull_hit_016;;;;;;;;;Me topo con el sabor característico y metálico de mi sangre.;;;;
ejemplo2_prepare_powerfull_hit_017;;;;;;;;;Bastante cansado respondo a Rafa.;;;;g
ejemplo2_prepare_powerfull_hit_018;;;;;;;;berto;Vaya… necesitaba ir al quiropráctico por el golpe en mi cuello y… parece que ahora tendré que ir a un dentista también.;;;;
ejemplo2_prepare_powerfull_hit_019;;;;;;rafarencio:0.8;;rafarencio;Oye, no estuviste nada mal, me tomó por sorpresa ese mordisco.;;;;
ejemplo2_prepare_powerfull_hit_020;;;;;;;;berto;¿Ah sí? La verdad es que vi la oportunidad y no la dejé escapar.;;;;
ejemplo2_prepare_powerfull_hit_021;;;;;;;;;Fue realmente frustrante intentar agarrarte de la muñeca 12 veces sin éxito.;;;;
ejemplo2_prepare_powerfull_hit_022;;;;;;rafarencio:jump;;rafarencio;¡Jajajaja! Y créeme que disfrute cada intento fallido.;;;;
ejemplo2_prepare_powerfull_hit_023;;;;;;;;*;Su rostro cambia por completo a uno más serio.;;;;
ejemplo2_prepare_powerfull_hit_024;;;;;;;;rafarencio;Oye no estás parando de sangrar, creo que deberías ir a revisarte.;;;;
ejemplo2_prepare_powerfull_hit_025;;;;;;;;*;Esta vez me llevo la mano a la boca y veo que en efecto sigo sangrando.;;;;
ejemplo2_prepare_powerfull_hit_026;;;;;;;;berto;Ay…. Yo quería seguir luchando.;;;;
ejemplo2_prepare_powerfull_hit_027;;;;;;;;*;Él se abre de brazos.;;;;
ejemplo2_prepare_powerfull_hit_028;;;;;;;;rafarencio;La próxima vez será, aquí estaré para enseñarte cómo se esquiva.;;;;
ejemplo2_prepare_powerfull_hit_029;;;;;;;;berto;Claro.;;;;
ejemplo2_prepare_powerfull_hit_030;;*;;;;rafarencio:destroy:1;;*;Sin más, me acerco al instructor y solo con verme señala hacia la enfermería casi al instante.;;;;
#linear;fade:1:3:0;clear;;;;;;;;;;;
to_ruined_future;ejemplo2/ejemplo2_005_ruined_future;;;;;;;;;;;;
