Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
ejemplo2_ruined_future_001;house_inside;last winter;;;;;;*;Apoyándome con mi bastón avanzo entre un montón de cajas acumuladas.;
ejemplo2_ruined_future_002;;;;;;;;;Siempre digo que voy a sacar la basura pero se me olvida constantemente, estoy hecho un desastre.;
ejemplo2_ruined_future_003;;;;;;;;;Mi cuerpo tampoco responde tan bien como antes, ya no soy el mismo de ese entonces.;
ejemplo2_ruined_future_004;;;;;;;;;Tras apartar algunas cajas usando tanto mi pierna buena como el bastón logro abrirme paso hasta la puerta principal.;
ejemplo2_ruined_future_005;house_front;;;;;;;;Como de costumbre, salgo y me siento en una maltrecha mecedora de madera que rechina cada vez que me mezo sobre ella.;
ejemplo2_ruined_future_006;;;;;;;;;El avance del tiempo no perdona.;
ejemplo2_ruined_future_007;;;;;;;;;Sin embargo, no todo es malo, el periódico que tengo guardado es muy grande como para salirse por los agujeros del bolsillo de mi abrigo.;
ejemplo2_ruined_future_008;;;;;;;;;Saco el periódico para ver las noticias de hoy.;
ejemplo2_ruined_future_009;;;;;;;;;Al momento que lo abro un pinchazo invade mi rodilla.;
ejemplo2_ruined_future_010;;;;;;;;berto;Ayay… el dolor es cada vez peor.;
ejemplo2_ruined_future_011;;;;;;;;*;¿Lo peor? El país no tiene recursos para tratar a un discapacitado como yo.;
ejemplo2_ruined_future_012;;;;;;;;;La guerra se ha extendido más de lo debido y ahora los civiles estamos pagando las consecuencias con hambruna y empeoramiento de los servicios.;
ejemplo2_ruined_future_013;;;;;;;;;Tras acariciar un poco mi rodilla, abro el periódico y por fin obtengo un pequeño momento para dedicarme a la lectura.;
ejemplo2_ruined_future_014;;;;;;;;;¿Eh? ¿Por qué se ve así?;
ejemplo2_ruined_future_015;;;;;;;;;La noticia principal parece estar mal impresa, se alcalzan a ver algunas letras, pero el resto de las noticias están bien.;
ejemplo2_ruined_future_016;;;;;;;;;Logro leer algunas pocas palabras, quizás si…;
ejemplo2_ruined_future_017;;;;;;;;;Hago uso de mi gran inteligencia y coloco el periódico a contraluz, lo que veo se superpone con las noticias de la parte de atrás, sin embargo, con algo de esfuerzo soy capaz de leer la noticia principal.;
ejemplo2_ruined_future_018;;;;;;;;;“Los escuadrones 2 y 3 fueron abatidos. Las fuerzas de inteligencia y espionaje fueron atrapadas, la nación está condenada.”;
ejemplo2_ruined_future_019;;;;;;;;;“Sin embargo los líderes se rehúsan a retroceder, lucharán sin rendirse hasta las últimas consecuencias, la población se debilita y no hay nada que hacer.”;
ejemplo2_ruined_future_020;;;;;;;;;“La incertidumbre crece en los soldados y cada vez hay más desertores, aquellos que son atrapados son sometidos a torturas horribles y muertes lentas.”;
ejemplo2_ruined_future_021;;;;;;;;;“Los enemigos han entrado a la nación, asesinan y saquean indiscriminadamente a la población, todos vamos a morir.”;
ejemplo2_ruined_future_022;;;;;;;;;…;
ejemplo2_ruined_future_023;;;;;;;;berto;Mierda…;
ejemplo2_ruined_future_024;;;;;;;;*;Con razón estaba todo emborronado, quieren ocultar la verdad, sinceramente no es como si yo pudiese hacer algo al respecto.;
ejemplo2_ruined_future_025;;;;;;;;;Agh… ¿Por qué…?;
ejemplo2_ruined_future_026;;;;;;;;;¿Por qué no fui capaz de reaccionar a tiempo?;
ejemplo2_ruined_future_027;;;;;;;;;Ni siquiera me trataron bien las heridas ¿Y ahora qué? Solo soy un estorbo…;
ejemplo2_ruined_future_028;;;;;;;;;Mi pesimismo inunda mis sentidos hasta que logro percibir un olor extraño.;
ejemplo2_ruined_future_029;;;;;;;;;¿Algo se está quemando?;
ejemplo2_ruined_future_030;;;;;;;;;Miro a mi al rededor y noto una bruma de humo apareciendo que rodea mi casa desde atrás.;
ejemplo2_ruined_future_031;;*;;;smoke:0.7;;;berto;¿Eh? ¿Q-;
ejemplo2_ruined_future_032;;;;;suffocation:0.6;;;*;Mis ojos comienzan a llorar, mis fosas nasales se obstruyen, caigo de mi mecedora e intento respirar pero cada respiración es dolorosa y me cierra cada vez más los pulmones.;
ejemplo2_ruined_future_033;;;latido;;;;;;Las lágrimas se convierten en sangre y todo se tiñe de rojo.;
ejemplo2_ruined_future_034;;;;;;;;;Siento algo que me golpea en el estómago y me da la vuelta dejándome boca arriba.;
ejemplo2_ruined_future_035;;;gas mask;;gas mask;;;;Un rostro demoniaco atraviesa la niebla y se acerca a mi rostro.;
ejemplo2_ruined_future_036;;;;;;;;???;Parece que no puedes respirar bien, te daré una mano.;
ejemplo2_ruined_future_037;;;;;gas mask;;;*;Siento una punzada en mi cuello y poco después noto algo caliente descendiendo y rodeando mi nuca.;
ejemplo2_ruined_future_038;blackout;;;;suffocation,smoke;;;;Mi tos se reduce a la vez que comienzo a notar frío, y más frío, siento los pulmones vacíos, ahora solo veo oscuridad y nada más.;
ejemplo2_ruined_future_039;;;;;;;;;Si tan solo hubiese reaccionado a tiempo…;
ejemplo2_ruined_future_040;;;;;;;;;Si tan solo… hubiese tomado mejores decisiones…;
